Nr;Gebiet;gehört zu;Wahlberechtigte;;Wählende;;Ungültige Stimmen;;Gültige Stimmen;;SPD;;CDU;;Gruene;;FDP;;AfD;;CSU;;Linke;;FREIE WÄHLER;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Basisdemokratische Partei Deutschland;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;Die Gerechtigkeitspartei – Team Todenhöfer;;Piratenpartei Deutschland;;Volt Deutschland;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;Südschleswigscher Wählerverband;;Partei für Verjüngungsforschung;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;Bündnis C - Christen für Deutschland;;Bayernpartei;;Marxistisch-Leninistische Partei Deutschlands;;Menschliche Welt - für das Wohl und Glücklichsein aller;;Partei des Fortschritts;;Sozialistische Gleichheitspartei, Vierte Internationale;;Bürgerrechtsbewegung Solidarität;;BÜNDNIS DEUTSCHLAND;;BSW;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;WerteUnion;;Übrige;
;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen
223;Starnberg – Landsberg am Lech;09;214841;214841;188348;188348;855;634;187493;187714;24165;21598;;;31338;31552;6665;10962;24163;25281;80382;72605;6441;9709;6061;5146;2431;1453;1521;774;1504;882;;;;;2119;1264;;757;;;;;;131;;;703;429;;25;;;;;;;;;;131;;5015;;;;;;
224;Traunstein;09;208678;208678;172572;172572;818;548;171754;172024;20845;16925;;;14985;17677;3270;5891;30995;34619;80507;66829;6885;7515;10689;11217;;1450;1796;976;;668;;;;;;662;1782;1001;;;;;;86;;;;441;;28;;;;;;;;;;134;;5905;;;;;;
225;Weilheim;09;168223;168223;143715;143715;801;388;142914;143327;13488;13888;;;18129;17098;6356;6760;22082;24240;65407;59685;5698;6870;8023;6333;;1012;;587;;667;;;;;1400;692;2331;963;;;;;;82;;;;301;;15;;;;;;;;;;118;;4016;;;;;;
226;Deggendorf;09;165283;165283;135617;135617;709;381;134908;135236;12155;10912;;;6512;6856;5187;4283;36248;39532;58446;52052;3068;4179;11373;10574;;764;;294;;279;;;;;821;399;;508;;;;;;47;;;1098;464;;14;;;;;;;;;;116;;3963;;;;;;
227;Landshut;09;246199;246199;208264;208264;874;633;207390;207631;18819;19652;;;17136;18059;6437;7728;42148;46439;71014;75251;7564;9600;38336;19279;2091;1567;;603;;692;;;;;1071;832;1895;1082;;;;;;127;;;879;464;;33;;;;;;;;;;168;;6055;;;;;;
228;Passau;09;176118;176118;144127;144127;597;406;143530;143721;20120;13904;;;7425;9821;3072;4706;33776;36665;58538;55447;4172;5692;9199;9154;;873;;300;;355;;;;;799;488;2625;1016;;;;;;71;;;;241;;8;;;;;;;;;;85;3804;4895;;;;;;
229;Rottal-Inn;09;172567;172567;142729;142729;663;407;142066;142322;9947;10899;;;7688;7841;2625;4272;32882;37105;49581;54707;4166;4990;32668;14997;;821;;368;;378;;;;;898;457;1611;870;;;;;;66;;;;313;;15;;;;;;;;;;79;;4144;;;;;;
230;Straubing;09;172562;172562;141572;141572;629;454;140943;141118;11133;11321;;;7241;7466;2715;4279;36671;39113;65291;55427;4394;4934;11139;11127;;883;;314;;368;;;;;;355;1877;896;;;;;;53;;;;297;;17;;;;;;;;;482;144;;4124;;;;;;
231;Amberg;09;213946;213946;181998;181998;865;670;181133;181328;19705;19333;;;12177;13961;4699;5968;38359;40019;80626;72724;7316;7977;12883;11310;;1323;1609;784;;580;;;;;1403;810;1746;795;;;;;;107;;;;337;;33;;;;;;;;;610;212;;5055;;;;;;
232;Regensburg;09;250692;250692;212425;212425;757;567;211668;211858;27602;23589;;;27691;28292;5231;7406;37931;39743;80980;75587;9721;14778;11195;10440;2039;1405;;526;;726;;;;;2170;1665;1654;856;;;;;;147;;;;232;;32;;;;;;;;;319;206;5135;6228;;;;;;
